Family,Style,Specifically requested by community?,Available on Google Fonts?,Web safe font,Has all glyphs?,Devoid of rendering oddities?,Recommended
Andika,Handwritten,Yes,Yes,No,,,
Calibri,Sans serif,Yes,No,No,,,
Lucida Sans Unicode,Sans serif,Yes,No,No,,,
Papyrus,Misc,Yes,No,No,,,No
Noto Sans,Sans serif,No,Yes,No,,,
PT Sans,Sans serif,No,Yes,No,,,
PT Sans Narrow,Sans serif,No,Yes,No,,,
Pangolin,Sans serif,No,Yes,No,,,
Proxima Nova,Sans serif,No,Yes,No,,,
Roboto,Sans serif,No,Yes,No,,,
Nunito,Sans serif,No,Yes,No,,,
Trebuchet MS,Sans serif,No,No,Yes,,,
Varela Round,Sans serif,No,Yes,No,,,
Arial,Sans serif,No,No,Yes,,,
Arimo,Sans serif,No,Yes,No,,,
Montserrat,Sans serif,No,Yes,No,,,
Roboto Mono,Monospace,No,Yes,No,,,
EB Garamond,Serif,No,Yes,No,,,
Gentium Basic,Serif,No,Yes,No,,,
Alegreya,Serif,No,Yes,No,,,
Times New Roman,Serif,No,No,Yes,,,
Cambria,Serif,No,No,No,,,
Playfair Display,Serif,No,Yes,No,,,
Noto Serif,Serif,No,Yes,No,,,
Georgia,Serif,No,No,Yes,,,
Lobster,Script,No,Yes,No,,,
Kalam,Script,No,Yes,No,,,
Cabin Sketch,Misc,No,Yes,No,,,
Papyrus,Misc,No,No,No,,,
Shadows into Light,Handwritten,No,Yes,No,,,
Bree Serif,Handwritten,No,Yes,No,,,
Comic Sans MS,Handwritten,No,No,Yes,,,
Josefina Sans,Handwritten,No,Yes,No,,,
Righteous,Handwritten,No,Yes,No,,,
Comfortaa,Handwritten,No,Yes,No,,,
The Girl Next Door,Handwritten,No,Yes,No,,,
Indie Flower,Handwritten,No,Yes,No,,,
Courier New,Monospace,No,No,Yes,,,
Verdana,Sans serif,No,No,Yes,,,
Tahoma,Sans serif,No,No,Yes,,,
Impact,Sans serif,No,No,Yes,,,
